Time Stamp,Distance
0,7.5
1,7.2
2,7
3,6.75
4,6.2
5,6
6,5.85
7,5.6
8,5.35
9,5.05
10,4.9
11,4.76
12,4.43
13,4.26
14,4
15,3.87
16,3.65
17,3.44
18,3.2
19,3.13
